"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","zeme3"
"CS","CZEMALFA",1186,"PL","Polsko","Polská republika","1900-01-01","9999-09-09","POL"
"CS","CZEMALFA",1186,"PM","Saint Pierre a Miquelon","Územní společenství Saint Pierre a Miquelon","1900-01-01","9999-09-09","SPM"
"CS","CZEMALFA",1186,"PN","Pitcairn","Pitcairnovy ostrovy","1900-01-01","9999-09-09","PCN"
"CS","CZEMALFA",1186,"PR","Portoriko","Portorické společenství","1900-01-01","9999-09-09","PRI"
"CS","CZEMALFA",1186,"PS","Palestina","Palestinská autonomní území","2002-01-01","9999-09-09","PSE"
"CS","CZEMALFA",1186,"PT","Portugalsko","Portugalská republika","1900-01-01","9999-09-09","PRT"
"CS","CZEMALFA",1186,"PW","Palau","Republika Palau","1900-01-01","9999-09-09","PLW"
"CS","CZEMALFA",1186,"PY","Paraguay","Paraguayská republika","1900-01-01","9999-09-09","PRY"
"CS","CZEMALFA",1186,"QA","Katar","Stát Katar","1900-01-01","9999-09-09","QAT"
"CS","CZEMALFA",1186,"RE","Réunion","Region Réunion","1900-01-01","9999-09-09","REU"
"CS","CZEMALFA",1186,"RO","Rumunsko","Rumunsko","1900-01-01","9999-09-09","ROU"
"CS","CZEMALFA",1186,"RS","Srbsko","Srbská republika","2006-06-03","9999-09-09","SRB"
"CS","CZEMALFA",1186,"RU","Rusko","Ruská federace","1900-01-01","9999-09-09","RUS"
"CS","CZEMALFA",1186,"RW","Rwanda","Rwandská republika","1900-01-01","9999-09-09","RWA"
"CS","CZEMALFA",1186,"SA","Saúdská Arábie","Království Saúdská Arábie","1900-01-01","9999-09-09","SAU"
"CS","CZEMALFA",1186,"SB","Šalomounovy ostrovy","Šalomounovy ostrovy","1900-01-01","9999-09-09","SLB"
"CS","CZEMALFA",1186,"SC","Seychely","Seychelská republika","1900-01-01","9999-09-09","SYC"
"CS","CZEMALFA",1186,"SD","Súdán","Súdánská republika","1900-01-01","9999-09-09","SDN"
"CS","CZEMALFA",1186,"SE","Švédsko","Švédské království","1900-01-01","9999-09-09","SWE"
"CS","CZEMALFA",1186,"SG","Singapur","Singapurská republika","1900-01-01","9999-09-09","SGP"
"CS","CZEMALFA",1186,"SH","Svatá Helena","Svatá Helena, Ascension a Tristan da Cunha","1900-01-01","9999-09-09","SHN"
"CS","CZEMALFA",1186,"SI","Slovinsko","Slovinská republika","1900-01-01","9999-09-09","SVN"
"CS","CZEMALFA",1186,"SJ","Špicberky a Jan Mayen","Špicberky a Jan Mayen","1900-01-01","9999-09-09","SJM"
"CS","CZEMALFA",1186,"SK","Slovensko","Slovenská republika","1900-01-01","9999-09-09","SVK"
"CS","CZEMALFA",1186,"SL","Sierra Leone","Republika Sierra Leone","1900-01-01","9999-09-09","SLE"
"CS","CZEMALFA",1186,"SM","San Marino","Republika San Marino","1900-01-01","9999-09-09","SMR"
